context;influencer;regular_node_set_unique;regular_node_set_grouped;new_activations
0.005931431292074607 0.014253204586729096 0.004761271858376159 -0.0025236940388099873 -0.001950969357847332 0.007089620718535384 0.006898566681882023 0.0005044421322697001 0.017961147177993176 -0.008480568767750362;0;[0, 3, 4, 6];[0, 3, 4, 6];4
0.005931431292074607 0.014253204586729096 0.004761271858376159 -0.0025236940388099873 -0.001950969357847332 0.007089620718535384 0.006898566681882023 0.0005044421322697001 0.017961147177993176 -0.008480568767750362;1;[0, 3, 4, 6];[0, 3, 4, 6];4
0.005931431292074607 0.014253204586729096 0.004761271858376159 -0.0025236940388099873 -0.001950969357847332 0.007089620718535384 0.006898566681882023 0.0005044421322697001 0.017961147177993176 -0.008480568767750362;2;[0, 3, 4, 6];[0, 3, 4, 6];4
0.005931431292074607 0.014253204586729096 0.004761271858376159 -0.0025236940388099873 -0.001950969357847332 0.007089620718535384 0.006898566681882023 0.0005044421322697001 0.017961147177993176 -0.008480568767750362;3;[0, 3, 4, 6];[0, 3, 4, 6];4
0.005931431292074607 0.014253204586729096 0.004761271858376159 -0.0025236940388099873 -0.001950969357847332 0.007089620718535384 0.006898566681882023 0.0005044421322697001 0.017961147177993176 -0.008480568767750362;4;[0, 3, 4, 6];[0, 3, 4, 6];4
0.005931431292074607 0.014253204586729096 0.004761271858376159 -0.0025236940388099873 -0.001950969357847332 0.007089620718535384 0.006898566681882023 0.0005044421322697001 0.017961147177993176 -0.008480568767750362;5;[0, 3, 4, 6];[0, 3, 4, 6];4
0.005931431292074607 0.014253204586729096 0.004761271858376159 -0.0025236940388099873 -0.001950969357847332 0.007089620718535384 0.006898566681882023 0.0005044421322697001 0.017961147177993176 -0.008480568767750362;6;[0, 3, 4, 6];[0, 3, 4, 6];4
0.005931431292074607 0.014253204586729096 0.004761271858376159 -0.0025236940388099873 -0.001950969357847332 0.007089620718535384 0.006898566681882023 0.0005044421322697001 0.017961147177993176 -0.008480568767750362;7;[0, 3, 4, 6];[0, 3, 4, 6];4
0.005931431292074607 0.014253204586729096 0.004761271858376159 -0.0025236940388099873 -0.001950969357847332 0.007089620718535384 0.006898566681882023 0.0005044421322697001 0.017961147177993176 -0.008480568767750362;8;[0, 3, 4, 6];[0, 3, 4, 6];4
0.005931431292074607 0.014253204586729096 0.004761271858376159 -0.0025236940388099873 -0.001950969357847332 0.007089620718535384 0.006898566681882023 0.0005044421322697001 0.017961147177993176 -0.008480568767750362;9;[0, 3, 4, 6];[0, 3, 4, 6];4
0.004203803198353539 0.010733133215789748 0.016112594690821845 -0.005706669179459833 -0.0015688412752349334 0.001939949771363847 0.00559024459891515 -0.007235808478802874 0.02688348222888868 -0.00858253966164928;0;[1, 2, 3, 4, 5];[1, 2, 3, 4, 5];5
0.004203803198353539 0.010733133215789748 0.016112594690821845 -0.005706669179459833 -0.0015688412752349334 0.001939949771363847 0.00559024459891515 -0.007235808478802874 0.02688348222888868 -0.00858253966164928;1;[1, 2, 3, 4, 5];[1, 2, 3, 4, 5];5
0.004203803198353539 0.010733133215789748 0.016112594690821845 -0.005706669179459833 -0.0015688412752349334 0.001939949771363847 0.00559024459891515 -0.007235808478802874 0.02688348222888868 -0.00858253966164928;2;[1, 2, 3, 4, 5];[1, 2, 3, 4, 5];5
0.004203803198353539 0.010733133215789748 0.016112594690821845 -0.005706669179459833 -0.0015688412752349334 0.001939949771363847 0.00559024459891515 -0.007235808478802874 0.02688348222888868 -0.00858253966164928;3;[1, 2, 3, 4, 5];[1, 2, 3, 4, 5];5
0.004203803198353539 0.010733133215789748 0.016112594690821845 -0.005706669179459833 -0.0015688412752349334 0.001939949771363847 0.00559024459891515 -0.007235808478802874 0.02688348222888868 -0.00858253966164928;4;[1, 2, 3, 4, 5];[1, 2, 3, 4, 5];5
0.004203803198353539 0.010733133215789748 0.016112594690821845 -0.005706669179459833 -0.0015688412752349334 0.001939949771363847 0.00559024459891515 -0.007235808478802874 0.02688348222888868 -0.00858253966164928;5;[1, 2, 3, 4, 5];[1, 2, 3, 4, 5];5
0.004203803198353539 0.010733133215789748 0.016112594690821845 -0.005706669179459833 -0.0015688412752349334 0.001939949771363847 0.00559024459891515 -0.007235808478802874 0.02688348222888868 -0.00858253966164928;6;[1, 2, 3, 4, 5];[1, 2, 3, 4, 5];5
0.004203803198353539 0.010733133215789748 0.016112594690821845 -0.005706669179459833 -0.0015688412752349334 0.001939949771363847 0.00559024459891515 -0.007235808478802874 0.02688348222888868 -0.00858253966164928;7;[1, 2, 3, 4, 5];[1, 2, 3, 4, 5];5
0.004203803198353539 0.010733133215789748 0.016112594690821845 -0.005706669179459833 -0.0015688412752349334 0.001939949771363847 0.00559024459891515 -0.007235808478802874 0.02688348222888868 -0.00858253966164928;8;[1, 2, 3, 4, 5];[1, 2, 3, 4, 5];5
0.004203803198353539 0.010733133215789748 0.016112594690821845 -0.005706669179459833 -0.0015688412752349334 0.001939949771363847 0.00559024459891515 -0.007235808478802874 0.02688348222888868 -0.00858253966164928;9;[1, 2, 3, 4, 5];[1, 2, 3, 4, 5];5
0.00287388949049463 0.010949519997859047 0.023625058178520474 -0.0020129875183980015 0.00014295894766460648 0.006211993941805383 0.005258684885764353 -0.007916098282992024 0.035039170350803596 -0.004151982954293421;0;[1, 2, 3, 7];[1, 2, 3, 7];4
0.00287388949049463 0.010949519997859047 0.023625058178520474 -0.0020129875183980015 0.00014295894766460648 0.006211993941805383 0.005258684885764353 -0.007916098282992024 0.035039170350803596 -0.004151982954293421;1;[1, 2, 3, 7];[1, 2, 3, 7];4
0.00287388949049463 0.010949519997859047 0.023625058178520474 -0.0020129875183980015 0.00014295894766460648 0.006211993941805383 0.005258684885764353 -0.007916098282992024 0.035039170350803596 -0.004151982954293421;2;[1, 2, 3, 7];[1, 2, 3, 7];4
0.00287388949049463 0.010949519997859047 0.023625058178520474 -0.0020129875183980015 0.00014295894766460648 0.006211993941805383 0.005258684885764353 -0.007916098282992024 0.035039170350803596 -0.004151982954293421;3;[1, 2, 3, 7];[1, 2, 3, 7];4
0.00287388949049463 0.010949519997859047 0.023625058178520474 -0.0020129875183980015 0.00014295894766460648 0.006211993941805383 0.005258684885764353 -0.007916098282992024 0.035039170350803596 -0.004151982954293421;4;[1, 2, 3, 7];[1, 2, 3, 7];4
0.00287388949049463 0.010949519997859047 0.023625058178520474 -0.0020129875183980015 0.00014295894766460648 0.006211993941805383 0.005258684885764353 -0.007916098282992024 0.035039170350803596 -0.004151982954293421;5;[1, 2, 3, 7];[1, 2, 3, 7];4
0.00287388949049463 0.010949519997859047 0.023625058178520474 -0.0020129875183980015 0.00014295894766460648 0.006211993941805383 0.005258684885764353 -0.007916098282992024 0.035039170350803596 -0.004151982954293421;6;[1, 2, 3, 7];[1, 2, 3, 7];4
0.00287388949049463 0.010949519997859047 0.023625058178520474 -0.0020129875183980015 0.00014295894766460648 0.006211993941805383 0.005258684885764353 -0.007916098282992024 0.035039170350803596 -0.004151982954293421;7;[1, 2, 3, 7];[1, 2, 3, 7];4
0.00287388949049463 0.010949519997859047 0.023625058178520474 -0.0020129875183980015 0.00014295894766460648 0.006211993941805383 0.005258684885764353 -0.007916098282992024 0.035039170350803596 -0.004151982954293421;8;[1, 2, 3, 7];[1, 2, 3, 7];4
0.00287388949049463 0.010949519997859047 0.023625058178520474 -0.0020129875183980015 0.00014295894766460648 0.006211993941805383 0.005258684885764353 -0.007916098282992024 0.035039170350803596 -0.004151982954293421;9;[1, 2, 3, 7];[1, 2, 3, 7];4
0.004041956291554483 0.007638001451092169 0.02208835507087037 -0.001695593252233185 -0.0032086558910809026 0.00719490139817669 0.0031350226374001087 -0.010647850145866156 0.025439292878885356 -0.005205742540854552;0;[2, 3, 5, 6, 7];[2, 3, 5, 6, 7];5
0.004041956291554483 0.007638001451092169 0.02208835507087037 -0.001695593252233185 -0.0032086558910809026 0.00719490139817669 0.0031350226374001087 -0.010647850145866156 0.025439292878885356 -0.005205742540854552;1;[2, 3, 5, 6, 7];[2, 3, 5, 6, 7];5
0.004041956291554483 0.007638001451092169 0.02208835507087037 -0.001695593252233185 -0.0032086558910809026 0.00719490139817669 0.0031350226374001087 -0.010647850145866156 0.025439292878885356 -0.005205742540854552;2;[2, 3, 5, 6, 7];[2, 3, 5, 6, 7];5
0.004041956291554483 0.007638001451092169 0.02208835507087037 -0.001695593252233185 -0.0032086558910809026 0.00719490139817669 0.0031350226374001087 -0.010647850145866156 0.025439292878885356 -0.005205742540854552;3;[2, 3, 5, 6, 7];[2, 3, 5, 6, 7];5
0.004041956291554483 0.007638001451092169 0.02208835507087037 -0.001695593252233185 -0.0032086558910809026 0.00719490139817669 0.0031350226374001087 -0.010647850145866156 0.025439292878885356 -0.005205742540854552;4;[2, 3, 5, 6, 7];[2, 3, 5, 6, 7];5
0.004041956291554483 0.007638001451092169 0.02208835507087037 -0.001695593252233185 -0.0032086558910809026 0.00719490139817669 0.0031350226374001087 -0.010647850145866156 0.025439292878885356 -0.005205742540854552;5;[2, 3, 5, 6, 7];[2, 3, 5, 6, 7];5
0.004041956291554483 0.007638001451092169 0.02208835507087037 -0.001695593252233185 -0.0032086558910809026 0.00719490139817669 0.0031350226374001087 -0.010647850145866156 0.025439292878885356 -0.005205742540854552;6;[2, 3, 5, 6, 7];[2, 3, 5, 6, 7];5
0.004041956291554483 0.007638001451092169 0.02208835507087037 -0.001695593252233185 -0.0032086558910809026 0.00719490139817669 0.0031350226374001087 -0.010647850145866156 0.025439292878885356 -0.005205742540854552;7;[2, 3, 5, 6, 7];[2, 3, 5, 6, 7];5
0.004041956291554483 0.007638001451092169 0.02208835507087037 -0.001695593252233185 -0.0032086558910809026 0.00719490139817669 0.0031350226374001087 -0.010647850145866156 0.025439292878885356 -0.005205742540854552;8;[2, 3, 5, 6, 7];[2, 3, 5, 6, 7];5
0.004041956291554483 0.007638001451092169 0.02208835507087037 -0.001695593252233185 -0.0032086558910809026 0.00719490139817669 0.0031350226374001087 -0.010647850145866156 0.025439292878885356 -0.005205742540854552;9;[2, 3, 5, 6, 7];[2, 3, 5, 6, 7];5
0.004343624985323191 0.00044284158661012096 0.017460695535975446 -0.004733042642833385 -0.00605698545983886 -0.0009893804927049387 0.0016869850039847646 -0.011535344253395707 0.023432269856228462 -0.004850175335835672;0;[0, 1];[0, 1];2
0.004343624985323191 0.00044284158661012096 0.017460695535975446 -0.004733042642833385 -0.00605698545983886 -0.0009893804927049387 0.0016869850039847646 -0.011535344253395707 0.023432269856228462 -0.004850175335835672;1;[0, 1];[0, 1];2
