context;influencer;regular_node_set_unique;regular_node_set_grouped;new_activations
0.004305610379570779 -0.005410240628551976 -0.008841291643158122 0.003181990867053375 0.0026905391358277297 0.0018456629114436574 0.0013790225549835887 0.00032106942946907857 0.01943940651037652 0.004179275625082623;0;[0, 9, 2, 5];[0, 9, 2, 5];4
0.004305610379570779 -0.005410240628551976 -0.008841291643158122 0.003181990867053375 0.0026905391358277297 0.0018456629114436574 0.0013790225549835887 0.00032106942946907857 0.01943940651037652 0.004179275625082623;1;[0, 9, 2, 5];[0, 9, 2, 5];4
0.004305610379570779 -0.005410240628551976 -0.008841291643158122 0.003181990867053375 0.0026905391358277297 0.0018456629114436574 0.0013790225549835887 0.00032106942946907857 0.01943940651037652 0.004179275625082623;2;[0, 9, 2, 5];[0, 9, 2, 5];4
0.004305610379570779 -0.005410240628551976 -0.008841291643158122 0.003181990867053375 0.0026905391358277297 0.0018456629114436574 0.0013790225549835887 0.00032106942946907857 0.01943940651037652 0.004179275625082623;3;[0, 9, 2, 5];[0, 9, 2, 5];4
0.004305610379570779 -0.005410240628551976 -0.008841291643158122 0.003181990867053375 0.0026905391358277297 0.0018456629114436574 0.0013790225549835887 0.00032106942946907857 0.01943940651037652 0.004179275625082623;4;[0, 9, 2, 5];[0, 9, 2, 5];4
0.004305610379570779 -0.005410240628551976 -0.008841291643158122 0.003181990867053375 0.0026905391358277297 0.0018456629114436574 0.0013790225549835887 0.00032106942946907857 0.01943940651037652 0.004179275625082623;5;[0, 9, 2, 5];[0, 9, 2, 5];4
0.004305610379570779 -0.005410240628551976 -0.008841291643158122 0.003181990867053375 0.0026905391358277297 0.0018456629114436574 0.0013790225549835887 0.00032106942946907857 0.01943940651037652 0.004179275625082623;6;[0, 9, 2, 5];[0, 9, 2, 5];4
0.004305610379570779 -0.005410240628551976 -0.008841291643158122 0.003181990867053375 0.0026905391358277297 0.0018456629114436574 0.0013790225549835887 0.00032106942946907857 0.01943940651037652 0.004179275625082623;7;[0, 9, 2, 5];[0, 9, 2, 5];4
0.004305610379570779 -0.005410240628551976 -0.008841291643158122 0.003181990867053375 0.0026905391358277297 0.0018456629114436574 0.0013790225549835887 0.00032106942946907857 0.01943940651037652 0.004179275625082623;8;[0, 9, 2, 5];[0, 9, 2, 5];4
0.004305610379570779 -0.005410240628551976 -0.008841291643158122 0.003181990867053375 0.0026905391358277297 0.0018456629114436574 0.0013790225549835887 0.00032106942946907857 0.01943940651037652 0.004179275625082623;9;[0, 9, 2, 5];[0, 9, 2, 5];4
0.004231330964041047 -0.0001186945837785336 -0.008591345326743039 0.00513510469247549 0.004318951802333637 0.003865529039954252 0.0018712814367487062 -0.005456144276392028 0.00027730417649423077 -0.00048576924435990155;0;[2, 3, 4, 5, 6];[2, 3, 4, 5, 6];5
0.004231330964041047 -0.0001186945837785336 -0.008591345326743039 0.00513510469247549 0.004318951802333637 0.003865529039954252 0.0018712814367487062 -0.005456144276392028 0.00027730417649423077 -0.00048576924435990155;1;[2, 3, 4, 5, 6];[2, 3, 4, 5, 6];5
0.004231330964041047 -0.0001186945837785336 -0.008591345326743039 0.00513510469247549 0.004318951802333637 0.003865529039954252 0.0018712814367487062 -0.005456144276392028 0.00027730417649423077 -0.00048576924435990155;2;[2, 3, 4, 5, 6];[2, 3, 4, 5, 6];5
0.004231330964041047 -0.0001186945837785336 -0.008591345326743039 0.00513510469247549 0.004318951802333637 0.003865529039954252 0.0018712814367487062 -0.005456144276392028 0.00027730417649423077 -0.00048576924435990155;3;[2, 3, 4, 5, 6];[2, 3, 4, 5, 6];5
0.004231330964041047 -0.0001186945837785336 -0.008591345326743039 0.00513510469247549 0.004318951802333637 0.003865529039954252 0.0018712814367487062 -0.005456144276392028 0.00027730417649423077 -0.00048576924435990155;4;[2, 3, 4, 5, 6];[2, 3, 4, 5, 6];5
0.004231330964041047 -0.0001186945837785336 -0.008591345326743039 0.00513510469247549 0.004318951802333637 0.003865529039954252 0.0018712814367487062 -0.005456144276392028 0.00027730417649423077 -0.00048576924435990155;5;[2, 3, 4, 5, 6];[2, 3, 4, 5, 6];5
0.004231330964041047 -0.0001186945837785336 -0.008591345326743039 0.00513510469247549 0.004318951802333637 0.003865529039954252 0.0018712814367487062 -0.005456144276392028 0.00027730417649423077 -0.00048576924435990155;6;[2, 3, 4, 5, 6];[2, 3, 4, 5, 6];5
0.004231330964041047 -0.0001186945837785336 -0.008591345326743039 0.00513510469247549 0.004318951802333637 0.003865529039954252 0.0018712814367487062 -0.005456144276392028 0.00027730417649423077 -0.00048576924435990155;7;[2, 3, 4, 5, 6];[2, 3, 4, 5, 6];5
0.004231330964041047 -0.0001186945837785336 -0.008591345326743039 0.00513510469247549 0.004318951802333637 0.003865529039954252 0.0018712814367487062 -0.005456144276392028 0.00027730417649423077 -0.00048576924435990155;8;[2, 3, 4, 5, 6];[2, 3, 4, 5, 6];5
0.004231330964041047 -0.0001186945837785336 -0.008591345326743039 0.00513510469247549 0.004318951802333637 0.003865529039954252 0.0018712814367487062 -0.005456144276392028 0.00027730417649423077 -0.00048576924435990155;9;[2, 3, 4, 5, 6];[2, 3, 4, 5, 6];5
0.005884181490971696 0.003359693998513813 -0.010055005448720733 0.008202666387585022 0.005646733401748927 0.004435585219383276 0.005288351728207808 -0.013922324704494126 -0.004221813027743116 -0.00102716001619636;0;[9, 6];[9, 6];2
